timestamp,capital
2024-03-26,9981.49
2024-03-27,9965.01
2024-03-28,9961.20
2024-03-29,9960.64
2024-03-30,9959.60
2024-03-31,9952.09
2024-04-01,9952.09
2024-04-02,9949.27
2024-04-03,9949.27
2024-04-04,9949.27
2024-04-05,9949.27
2024-04-06,9949.57
2024-04-07,9953.96
2024-04-08,9956.77
2024-04-09,9965.22
2024-04-10,9967.83
2024-04-11,9967.61
2024-04-12,9967.61
2024-04-13,9967.61
2024-04-14,9959.36
2024-04-15,9959.36
2024-04-16,9968.07
2024-04-17,9964.77
2024-04-18,9972.65
2024-04-19,9980.12
2024-04-20,9973.79
2024-04-21,9973.79
2024-04-22,9970.73
2024-04-23,9964.83
2024-04-24,9964.83
2024-04-25,9964.83
2024-04-26,9964.83
2024-04-27,9964.83
2024-04-28,9964.83
2024-04-29,9964.83
2024-04-30,9964.83
2024-05-01,9964.83
2024-05-02,9964.83
2024-05-03,9964.83
2024-05-04,9964.83
2024-05-05,9964.83
2024-05-06,9964.83
2024-05-07,9964.83
2024-05-08,9951.46
2024-05-09,9951.46
2024-05-10,9942.70
2024-05-11,9936.04
2024-05-12,9936.04
2024-05-13,9936.04
2024-05-14,9936.04
2024-05-15,9936.04
2024-05-16,9936.04
2024-05-17,9936.04
2024-05-18,9936.04
2024-05-19,9936.04
2024-05-20,9939.57
2024-05-21,9929.28
2024-05-22,9940.59
2024-05-23,9939.95
2024-05-24,9939.95
2024-05-25,9934.49
2024-05-26,9950.89
2024-05-27,9964.39
2024-05-28,9973.04
2024-05-29,9970.55
2024-05-30,9970.55
2024-05-31,9974.21
2024-06-01,9974.21
2024-06-02,9974.21
2024-06-03,9974.21
2024-06-04,9974.21
2024-06-05,9974.21
2024-06-06,9979.03
2024-06-07,9991.50
2024-06-08,9988.04
2024-06-09,9973.31
2024-06-10,9961.36
2024-06-11,9961.99
2024-06-12,9961.99
2024-06-13,9961.99
2024-06-14,9968.16
2024-06-15,9965.52
2024-06-16,9968.61
2024-06-17,9968.61
2024-06-18,9968.61
2024-06-19,9968.61
2024-06-20,9968.61
2024-06-21,9965.81
2024-06-22,9965.81
2024-06-23,9956.24
2024-06-24,9958.19
2024-06-25,9963.49
2024-06-26,9963.49
2024-06-27,9963.49
2024-06-28,9963.49
2024-06-29,9963.49
2024-06-30,9963.49
2024-07-01,9963.49
2024-07-02,9963.49
2024-07-03,9963.49
2024-07-04,9963.49
2024-07-05,9963.49
2024-07-06,9963.49
2024-07-07,9963.49
2024-07-08,9974.61
2024-07-09,9982.25
2024-07-10,9983.29
2024-07-11,9991.24
2024-07-12,9991.24
2024-07-13,9991.24
2024-07-14,9991.24
2024-07-15,9992.98
2024-07-16,10001.39
2024-07-17,9994.13
2024-07-18,9994.13
2024-07-19,9993.52
2024-07-20,9993.52
2024-07-21,9993.52
2024-07-22,9991.79
2024-07-23,9986.02
2024-07-24,9976.76
2024-07-25,9977.71
2024-07-26,9980.58
2024-07-27,9980.58
2024-07-28,9980.58
2024-07-29,9986.14
2024-07-30,9992.94
2024-07-31,9985.27
2024-08-01,9987.95
2024-08-02,9995.30
2024-08-03,9980.09
2024-08-04,9980.43
2024-08-05,9988.32
2024-08-06,9988.32
2024-08-07,9988.32
2024-08-08,9988.32
2024-08-09,9997.14
2024-08-10,9997.14
2024-08-11,9995.79
2024-08-12,9997.03
2024-08-13,9988.02
2024-08-14,9980.59
2024-08-15,9979.07
2024-08-16,9979.07
2024-08-17,9968.20
2024-08-18,9968.20
2024-08-19,9968.20
2024-08-20,9973.69
2024-08-21,9965.13
2024-08-22,9966.18
2024-08-23,9966.18
2024-08-24,9966.18
2024-08-25,9963.28
2024-08-26,9969.01
2024-08-27,9969.01
2024-08-28,9969.01
2024-08-29,9969.01
2024-08-30,9969.01
2024-08-31,9969.01
2024-09-01,9969.01
2024-09-02,9969.01
2024-09-03,9960.30
2024-09-04,9955.46
2024-09-05,9955.46
2024-09-06,9955.46
2024-09-07,9955.46
2024-09-08,9955.46
2024-09-09,9955.46
2024-09-10,9955.46
2024-09-11,9951.08
2024-09-12,9951.08
2024-09-13,9951.08
2024-09-14,9951.08
2024-09-15,9951.08
2024-09-16,9951.08
2024-09-17,9951.08
2024-09-18,9951.08
2024-09-19,9960.15
2024-09-20,9964.40
2024-09-21,9964.40
2024-09-22,9963.09
2024-09-23,9962.95
2024-09-24,9963.35
2024-09-25,9965.48
2024-09-26,9945.42
2024-09-27,9966.61
2024-09-28,9956.78
2024-09-29,9954.45
2024-09-30,9957.97
2024-10-01,9948.14
2024-10-02,9955.53
2024-10-03,9955.53
2024-10-04,9955.53
2024-10-05,9955.53
2024-10-06,9955.53
2024-10-07,9955.53
2024-10-08,9955.53
2024-10-09,9955.53
2024-10-10,9955.53
2024-10-11,9953.84
2024-10-12,9953.84
2024-10-13,9953.84
2024-10-14,9951.67
2024-10-15,9960.82
2024-10-16,9956.02
2024-10-17,9953.73
2024-10-18,9953.73
2024-10-19,9953.73
2024-10-20,9969.31
2024-10-21,9973.80
2024-10-22,9973.80
2024-10-23,9973.80
2024-10-24,9973.80
2024-10-25,9974.37
2024-10-26,9973.78
